% Model,"20231114_cal_for_dl_v3_tskin_5mm, 10mm.mph",,,,,,
% Version,COMSOL 6.1.0.357,,,,,,
% Date,"Nov 15 2023, 08:54",,,,,,
% Table,チE�Eブル 4 - グローバル評価 1,,,,,,
% T_body (degC),k_skin (W/(m*K)),C_skin (J/(kg*K)),t_skin (mm),Time (s),"T_skin, T2 (degC)","T_sen, T2 (degC)","T_core, T2 (degC)"
37,0.3,3000,5,0,30.74729604,25.00000968,37.00024902
37,0.3,3000,5,60,32.22334334,27.141926,36.99998236
37,0.3,3000,5,120,32.56469954,28.193433,37.00000225
37,0.3,3000,5,180,32.93095658,29.03816313,37.00000263
37,0.3,3000,5,240,33.27931826,29.76670697,37.0000006
37,0.3,3000,5,300,33.60102626,30.3995774,36.99999971
37,0.3,3000,5,360,33.89442469,30.95229227,36.99999977
37,0.3,3000,5,420,34.16357237,31.44153491,37.00000015
37,0.3,3000,5,480,34.40856629,31.8739533,37.00000017
37,0.3,3000,5,540,34.62883563,32.25407474,36.99999997
37,0.3,3000,5,600,34.82402025,32.58674914,36.99999991
37,0.3,3000,5,660,34.99469297,32.87727669,37
37,0.3,3000,5,720,35.14293647,33.13091245,37.00000005
37,0.3,3000,5,780,35.27199679,33.35243514,37.00000001
37,0.3,3000,5,840,35.38514038,33.54598419,36.99999998
37,0.3,3000,5,900,35.48473069,33.71510908,36.99999999
37,0.3,3000,5,960,35.57220274,33.86288337,37.00000001
37,0.3,3000,5,1020,35.64863913,33.99199052,37.00000001
37,0.3,3000,5,1080,35.71523084,34.10477603,37
37,0.3,3000,5,1140,35.77329451,34.20329064,37
37,0.3,3000,5,1200,35.82404795,34.28933159,37
37,0.3,3000,5,1260,35.86846462,34.36447572,37
37,0.3,3000,5,1320,35.90730529,34.43010307,37
37,0.3,3000,5,1380,35.94122252,34.48741771,37
37,0.3,3000,5,1440,35.9708227,34.53746988,37
37,0.3,3000,5,1500,35.99666472,34.58117755,37
37,0.3,3000,5,1560,36.01923861,34.61934396,37
37,0.3,3000,5,1620,36.03896029,34.65267142,37
37,0.3,3000,5,1680,36.05618514,34.68177308,37
